MeSH Term,MeSH Code
Rocky Mountain Spotted Fever,D012373
Wound Infection,D014946
Swayback,D013540
Intestinal Polyposis,D044483
"Cardiomyopathy, Alcoholic",D002310
Angiolymphoid Hyperplasia with Eosinophilia,D000796
Glycogen Storage Disease Type V,D006012
WAGR Syndrome,D017624
Boutonneuse Fever,D001907
Ureteral Diseases,D014515
Favism,D005236
"Lymphangioma, Cystic",D018191
Pneumoconiosis,D011009
"Epidermolysis Bullosa, Junctional",D016109
Migraine Disorders,D008881
Finger Injuries,D005383
Respiratory Tract Neoplasms,D012142
Glossopharyngeal Nerve Diseases,D020435
Subcutaneous Emphysema,D013352
Lipoma,D008067
Immunoproliferative Small Intestinal Disease,D007161
"Reflex, Babinski",D001405
Hyperemia,D006940
No-Reflow Phenomenon,D054318
Laryngitis,D007827
"Meningitis, Haemophilus",D008583
"Cardiac Output, Low",D002303
Gaucher Disease,D005776
Babesiosis,D001404
"Scleroderma, Limited",D045745
Diabetes Insipidus,D003919
"Affective Disorders, Psychotic",D000341
"Leukemia, Feline",D016582
Pasteurella Infections,D010326
Patellar Dislocation,D031222
Iris Neoplasms,D015811
Jaundice,D007565
Craniocerebral Trauma,D006259
Xerophthalmia,D014985
Multiple Organ Failure,D009102
Sebaceous Gland Neoplasms,D012626
"Tuberculosis, Cutaneous",D014382
Hypertrophy,D006984
Yang Deficiency,D016711
Slit Ventricle Syndrome,D056124
Pyruvate Carboxylase Deficiency Disease,D015324
Bluetongue,D001819
Pharyngitis,D010612
Pleural Diseases,D010995
Pneumococcal Infections,D011008
Thromboembolism,D013923
Hyperphosphatemia,D054559
Tuberculosis,D014376
"Optic Atrophy, Autosomal Dominant",D029241
Wolf-Hirschhorn Syndrome,D054877
Marijuana Abuse,D002189
Actinomycosis,D000196
"Leukemia, Myeloid",D007951
Hyperphagia,D006963
"Leprosy, Tuberculoid",D015441
Spinal Curvatures,D013121
Sweating Sickness,D018614
"Colitis, Collagenous",D046729
Hypereosinophilic Syndrome,D017681
Torovirus Infections,D018176
Cubital Tunnel Syndrome,D020430
Coronary Occlusion,D054059
Barrett Esophagus,D001471
Urethritis,D014526
Giant Cell Tumors,D005870
Sick Building Syndrome,D018877
"Rhabdomyosarcoma, Alveolar",D018232
"Keratoderma, Palmoplantar, Diffuse",D015776
HIV Wasting Syndrome,D019247
Struma Ovarii,D013330
"Diverticulum, Stomach",D013273
Hyperlipoproteinemia Type III,D006952
Coxsackievirus Infections,D003384
Leukemia L5178,D007940
Eye Hemorrhage,D005130
Confusion,D003221
Scabies,D012532
alpha 1-Antitrypsin Deficiency,D019896
Thinness,D013851
Otitis Media,D010033
Opportunistic Infections,D009894
Femoral Fractures,D005264
Tooth Resorption,D014091
Pubic Symphysis Diastasis,D046548
"Tuberculosis, Gastrointestinal",D014385
Sleep Deprivation,D012892
Synovial Cyst,D013581
Polyps,D011127
"Anemia, Pernicious",D000752
Iron Overload,D019190
Parkinson Disease,D010300
Trochlear Nerve Diseases,D020432
"Carcinoma, Skin Appendage",D018280
"Conjunctivitis, Viral",D003236
"Anemia, Refractory",D000753
Diverticulum,D004240
"Adenocarcinoma, Follicular",D018263
Gingival Neoplasms,D005887
Cestode Infections,D002590
Central Cord Syndrome,D020210
Sneddon Syndrome,D018860
Lactose Intolerance,D007787
Isochromosomes,D018404
Hydrothorax,D006876
Paraganglioma,D010235
"Asthma, Exercise-Induced",D001250
Scleromyxedema,D053718
"Hematoma, Subdural, Acute",D020199
Neurofibroma,D009455
"Spastic Paraplegia, Hereditary",D015419
Cytomegalovirus Infections,D003586
Latex Hypersensitivity,D020315
Paroxysmal Hemicrania,D051302
Panuveitis,D015864
Obesity Hypoventilation Syndrome,D010845
"Fractures, Compression",D050815
"Skin Diseases, Papulosquamous",D017444
Preleukemia,D011289
Enuresis,D004775
Irritable Bowel Syndrome,D043183
Lymphocele,D008210
"Burns, Chemical",D002057
Mononeuropathies,D020422
Iritis,D007500
Heartwater Disease,D006357
Inflammation,D007249
"Bites, Human",D001734
Acromegaly,D000172
Stomach Neoplasms,D013274
"Leishmaniasis, Visceral",D007898
Slow Virus Diseases,D012897
Vulvar Vestibulitis,D054515
Pedophilia,D010378
Gerstmann Syndrome,D005862
"Nystagmus, Pathologic",D009759
Eczema,D004485
Pityriasis Rubra Pilaris,D010916
Uterine Cervical Incompetence,D002581
Laryngismus,D007826
Hydrophthalmos,D006871
Paraphimosis,D010263
Tonsillar Neoplasms,D014067
Carotid Body Tumor,D002345
Myeloproliferative Disorders,D009196
"Wounds, Gunshot",D014948
Peripheral Vascular Diseases,D016491
"Liver Cirrhosis, Experimental",D008106
Memory Disorders,D008569
Exhibitionism,D005084
Hyperthyroidism,D006980
Focal Dermal Hypoplasia,D005489
Aortitis,D001025
Intertrigo,D007402
Feline Panleukopenia,D005254
"Tachycardia, Reciprocating",D054139
Ventricular Flutter,D054141
Lacerations,D022125
Cryptogenic Organizing Pneumonia,D018549
Prenatal Injuries,D049188
"Protozoan Infections, Animal",D011529
Platelet Storage Pool Deficiency,D010981
"Hepatitis C, Chronic",D019698
Lown-Ganong-Levine Syndrome,D008151
Psittacosis,D009956
"Arthritis, Experimental",D001169
Polymyositis,D017285
"Neoplasms, Connective Tissue",D009372
Hyaline Membrane Disease,D006819
"Cardiac Output, High",D016534
Hair Diseases,D006201
"Neoplasms, Unknown Primary",D009382
"Carcinoma, Signet Ring Cell",D018279
"Neuroma, Acoustic",D009464
Endodermal Sinus Tumor,D018240
"Leiomyoma, Epithelioid",D018230
Mirizzi Syndrome,D057792
"Bone Diseases, Metabolic",D001851
Androgen-Insensitivity Syndrome,D013734
Ovarian Cysts,D010048
Retrograde Degeneration,D012183
Retropharyngeal Abscess,D017703
Retinal Hemorrhage,D012166
Klinefelter Syndrome,D007713
"Translocation, Genetic",D014178
"Candidiasis, Chronic Mucocutaneous",D002178
Equinus Deformity,D004863
Solitary Pulmonary Nodule,D003074
"Myelitis, Transverse",D009188
"Wasting Disease, Chronic",D034081
Tooth Abnormalities,D014071
Radial Neuropathy,D020425
Pleural Effusion,D010996
"Elliptocytosis, Hereditary",D004612
Humeral Fractures,D006810
Wolfram Syndrome,D014929
Osteochondrosis,D055034
"Epilepsy, Tonic-Clonic",D004830
Epstein-Barr Virus Infections,D020031
"Uveitis, Posterior",D015866
"Tuberculosis, Renal",D014398
Tick Infestations,D013984
"Multiple Sclerosis, Relapsing-Remitting",D020529
Anemia,D000740
Pseudomyxoma Peritonei,D011553
"Sinus Thrombosis, Intracranial",D012851
Hemophilia B,D002836
Nesidioblastosis,D046768
Bladder Exstrophy,D001746
"Fibrous Dysplasia, Polyostotic",D005359
Dirofilariasis,D004184
"Thrombocythemia, Essential",D013920
Pseudomonas Infections,D011552
Brain Ischemia,D002545
"Ectodermal Dysplasia 1, Anhidrotic",D053358
Lymphadenitis,D008199
Hyperpituitarism,D006964
Tooth Mobility,D014086
Leber Congenital Amaurosis,D057130
Single Umbilical Artery,D058529
Hysteria,D007046
Endophthalmitis,D009877
"Adrenal Hyperplasia, Congenital",D000312
Vision Disorders,D014786
Puerperal Infection,D011645
Bronchiectasis,D001987
Acne Vulgaris,D000152
Starvation,D013217
"Papilloma, Intraductal",D018300
"Conjunctivitis, Allergic",D003233
Crigler-Najjar Syndrome,D003414
Tooth Erosion,D014077
Autolysis,D001329
Arm Injuries,D001134
Esophageal Atresia,D004933
Neointima,D058426
Choanal Atresia,D002754
Murine Acquired Immunodeficiency Syndrome,D016183
Dysplastic Nevus Syndrome,D004416
Pierre Robin Syndrome,D010855
Osteoporotic Fractures,D058866
Fever,D005334
Hemoptysis,D006469
"Uveitis, Intermediate",D015867
Pyelitis,D011702
"Dermatitis, Atopic",D003876
Cough,D003371
Prosthesis-Related Infections,D016459
Onycholysis,D054039
Sturge-Weber Syndrome,D013341
Pycnodysostosis,D058631
Myocardial Stunning,D017682
"Trypanosomiasis, Bovine",D014354
Ear Neoplasms,D004428
"Pleuropneumonia, Contagious",D011002
Conjunctival Neoplasms,D003230
Acute Disease,D000208
Laryngomalacia,D055092
"Malocclusion, Angle Class III",D008313
Abdominal Pain,D015746
"Telangiectasia, Hereditary Hemorrhagic",D013683
Pseudolymphoma,D019310
Factitious Disorders,D005162
"Neuroectodermal Tumors, Primitive, Peripheral",D018241
"Encephalomyelitis, Enzootic Porcine",D004682
Spina Bifida Occulta,D016136
Tracheal Stenosis,D014135
Knee Injuries,D007718
Prolapse,D011391
"Gait Disorders, Neurologic",D020233
Exfoliation Syndrome,D017889
"Carcinoma, Embryonal",D018236
Opisthorchiasis,D009889
Mixed Connective Tissue Disease,D008947
"Abnormalities, Radiation-Induced",D000016
MERRF Syndrome,D017243
Pulmonary Emphysema,D011656
Superinfection,D015163
Myxoma,D009232
Eye Manifestations,D005132
Central Nervous System Parasitic Infections,D020807
Hepadnaviridae Infections,D018347
"Heavy Metal Poisoning, Nervous System",D020260
"Metal Metabolism, Inborn Errors",D008664
"Pain, Intractable",D010148
Scotoma,D012607
"Tuberculosis, Laryngeal",D014387
"Carbohydrate Metabolism, Inborn Errors",D002239
Candidiasis,D002177
Urinary Fistula,D014548
Silicosis,D012829
Beckwith-Wiedemann Syndrome,D001506
Hyperglycemic Hyperosmolar Nonketotic Coma,D006944
Syncope,D013575
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,D015452
Vaginitis,D014627
Mercury Poisoning,D008630
Intestinal Fistula,D007412
"Neoplasms, Gonadal Tissue",D018309
Hypervitaminosis A,D006986
Branchio-Oto-Renal Syndrome,D019280
"Lipomatosis, Multiple Symmetrical",D008069
"Diverticulum, Esophageal",D004936
Pulmonary Veno-Occlusive Disease,D011668
Carotid-Cavernous Sinus Fistula,D020216
Mydriasis,D015878
Striae Distensae,D057896
"Gingivitis, Necrotizing Ulcerative",D005892
Spinal Cord Diseases,D013118
Virilism,D014770
Pancreatic Pseudocyst,D010192
Vasculitis,D014657
Communicable Diseases,D003141
AIDS-Associated Nephropathy,D016263
Fused Teeth,D005671
"Pneumonia of Swine, Mycoplasmal",D045729
Nocturia,D053158
"Encephalitis, California",D004670
Enzootic Bovine Leukosis,D016583
Angelman Syndrome,D017204
Myasthenia Gravis,D009157
Diffuse Cerebral Sclerosis of Schilder,D002549
Trichothiodystrophy Syndromes,D054463
"Enterocolitis, Neutropenic",D044504
West Nile Fever,D014901
Encephalitis,D004660
Lymphedema,D008209
Otitis Externa,D010032
"Gangliosidoses, GM2",D020143
Rhinitis,D012220
Tension-Type Headache,D018781
"Leprosy, Borderline",D015439
Arachnoid Cysts,D016080
Angioid Streaks,D000793
Periodontitis,D010518
Proteinuria,D011507
"Carcinoma, Merkel Cell",D015266
Nijmegen Breakage Syndrome,D049932
Heart Arrest,D006323
"Porphyria, Erythropoietic",D017092
"Amino Acid Transport Disorders, Inborn",D020157
"Supranuclear Palsy, Progressive",D013494
Intracranial Arteriosclerosis,D002537
Dysgeusia,D004408
Anti-Glomerular Basement Membrane Disease,D019867
Mesonephroma,D008649
Adiposis Dolorosa,D000274
Paronychia,D010304
Encephalitozoonosis,D016890
Bile Reflux,D001655
Carotid Artery Injuries,D020212
Arsenic Poisoning,D020261
Chondrocalcinosis,D002805
"Hypertrophy, Left Ventricular",D017379
"Hand Deformities, Congenital",D006228
Varicose Veins,D014648
Joint Loose Bodies,D007594
"Red-Cell Aplasia, Pure",D012010
"Adenocarcinoma, Sebaceous",D018266
Collagen Diseases,D003095
Adrenal Gland Diseases,D000307
Vitamin B 6 Deficiency,D026681
Smooth Muscle Tumor,D018235
Jaw Diseases,D007571
Bulimia,D002032
Gingival Pocket,D005888
Lice Infestations,D010373
Pancreatic Fistula,D010185
Angiomyolipoma,D018207
Convalescence,D003289
Central Serous Chorioretinopathy,D056833
Odontodysplasia,D018126
Hemorrhagic Fever with Renal Syndrome,D006480
Syringomyelia,D013595
Lateral Sinus Thrombosis,D020227
Hip Dislocation,D006617
Pilomatrixoma,D018296
Hepatic Veno-Occlusive Disease,D006504
Pulmonary Atelectasis,D001261
"Hypersensitivity, Delayed",D006968
Central Nervous System Bacterial Infections,D020806
Common Bile Duct Neoplasms,D003138
Foot Ulcer,D016523
Heat Stroke,D018883
Osteochondritis Dissecans,D010008
"Foot Deformities, Acquired",D005531
Arnold-Chiari Malformation,D001139
Diseases in Twins,D004200
Musculoskeletal Abnormalities,D009139
"Sarcoma, Myeloid",D023981
Sertoli Cell Tumor,D012707
Ventricular Outflow Obstruction,D014694
Encephalomyelitis,D004679
Tibial Neuropathy,D020429
Dysgammaglobulinemia,D004406
Elephantiasis,D004604
Ehrlichiosis,D016873
Lung Abscess,D008169
Niemann-Pick Diseases,D009542
Sleep Initiation and Maintenance Disorders,D007319
Facial Hemiatrophy,D005150
Infectious Mononucleosis,D007244
Personality Disorders,D010554
Autistic Disorder,D001321
Alphavirus Infections,D018354
Pick Disease of the Brain,D020774
SUNCT Syndrome,D050798
Leptospirosis,D007922
Menorrhagia,D008595
"Hypophosphatemia, Familial",D007015
"Lymphoma, Primary Effusion",D054685
Flushing,D005483
Brucellosis,D002006
"Leukemia, Myelomonocytic, Chronic",D015477
Psychomotor Agitation,D011595
Meningococcal Infections,D008589
Hidradenitis,D016575
Chordoma,D002817
Hypercholesterolemia,D006937
Neurodermatitis,D009450
"Empyema, Tuberculous",D004654
Epiglottitis,D004826
"Gangliosidosis, GM1",D016537
Arthralgia,D018771
Depressive Disorder,D003866
Folliculitis,D005499
"Demyelinating Autoimmune Diseases, CNS",D020278
"Esophageal Spasm, Diffuse",D015155
Eye Burns,D005126
"Carcinoma, Ductal, Breast",D018270
Periapical Granuloma,D010484
Opioid-Related Disorders,D009293
Erythromelalgia,D004916
"Pyloric Stenosis, Hypertrophic",D046248
Tracheobronchomalacia,D055089
Hemoglobin SC Disease,D006450
"Hemangioma, Cavernous",D006392
Mitral Valve Insufficiency,D008944
"Meningitis, Aseptic",D008582
Agammaglobulinemia,D000361
Hemopneumothorax,D006468
"Positive-Pressure Respiration, Intrinsic",D018467
Tinea Capitis,D014006
Polyomavirus Infections,D027601
"Lower Extremity Deformities, Congenital",D038061
Eosinophilia-Myalgia Syndrome,D016603
Cleft Palate,D002972
Fallopian Tube Neoplasms,D005185
Microsporidiosis,D016881
Hemorrhoids,D006484
Polycythemia Vera,D011087
Primary Ovarian Insufficiency,D016649
"Brain Injury, Chronic",D020208
Dyspareunia,D004414
Atrial Premature Complexes,D018880
"Neoplasms, Nerve Tissue",D009380
Bone Neoplasms,D001859
Abetalipoproteinemia,D000012
Adie Syndrome,D000270
Riboflavin Deficiency,D012257
Oculocerebrorenal Syndrome,D009800
Dens in Dente,D003719
"Granuloma, Laryngeal",D006102
Hereditary Angioedema Type III,D056828
Fasciitis,D005208
Polycythemia,D011086
Torsion Abnormality,D014102
Maxillary Fractures,D008440
Tinea Favosa,D014007
Hemobilia,D006431
Parathyroid Neoplasms,D010282
Sublingual Gland Neoplasms,D013362
"Granuloma, Giant Cell",D006101
"Skin Diseases, Viral",D017193
Spinal Cord Injuries,D013119
Schnitzler Syndrome,D019873
"Otitis Media, Suppurative",D010035
Liver Diseases,D008107
Aspergillosis,D001228
"Lymphoma, B-Cell",D016393
Eclampsia,D004461
"Histiocytoma, Benign Fibrous",D018219
"Hepatitis, Viral, Human",D006525
Histrionic Personality Disorder,D006677
Hypoaldosteronism,D006994
"Pancreatitis, Chronic",D050500
Filoviridae Infections,D018702
Growth Hormone-Secreting Pituitary Adenoma,D049912
Retroperitoneal Neoplasms,D012186
"Neoplasms, Adipose Tissue",D018205
Bunyaviridae Infections,D002044
Colorectal Neoplasms,D015179
Dyssomnias,D020920
"Decalcification, Pathologic",D003649
Gastritis,D005756
"Hemangioendothelioma, Epithelioid",D018323
Vertebral Artery Dissection,D020217
Sezary Syndrome,D012751
Hirschsprung Disease,D006627
Orbital Fractures,D009917
Duodenitis,D004382
"Pulmonary Disease, Chronic Obstructive",D029424
Ciliary Motility Disorders,D002925
Korsakoff Syndrome,D020915
Premature Birth,D047928
Necrobiotic Xanthogranuloma,D058252
Back Pain,D001416
"Aneurysm, Infected",D000785
Retinoschisis,D041441
"Jaw, Edentulous",D007575
Angiomyoma,D018229
"Albinism, Ocular",D016117
Voice Disorders,D014832
"Thrombocytopenia, Neonatal Alloimmune",D054098
"Eye Infections, Fungal",D015821
Olivopontocerebellar Atrophies,D009849
Cerebral Palsy,D002547
Mandibulofacial Dysostosis,D008342
"Liver Cirrhosis, Alcoholic",D008104
Acneiform Eruptions,D017486
"Keratitis, Dendritic",D007635
Lip Diseases,D008047
Migraine with Aura,D020325
"Diabetes Mellitus, Experimental",D003921
Haemonchiasis,D006188
Factor XII Deficiency,D005175
Colonic Neoplasms,D003110
Gliosis,D005911
Zygomatic Fractures,D015051
Nutrition Disorders,D009748
"Carcinoma, Ductal",D044584
Asbestosis,D001195
Diffuse Neurofibrillary Tangles with Calcification,D055956
"Eczema, Dyshidrotic",D011146
"Dysautonomia, Familial",D004402
Brain Neoplasms,D001932
Brown-Sequard Syndrome,D018437
"Abortion, Veterinary",D000034
Cocaine-Related Disorders,D019970
Fragile X Syndrome,D005600
Pancreatic Cyst,D010181
Placenta Previa,D010923
Hyphema,D006988
"AIDS Arteritis, Central Nervous System",D020943
Laryngeal Diseases,D007818
Exotropia,D005099
Xeroderma Pigmentosum,D014983
Leiomyomatosis,D018231
Mediastinal Diseases,D008477
Metabolic Diseases,D008659
Central Nervous System Diseases,D002493
Anodontia,D000848
Factor VII Deficiency,D005168
"Anemia, Refractory, with Excess of Blasts",D000754
Congenital Hypothyroidism,D003409
Miller Fisher Syndrome,D019846
Horner Syndrome,D006732
Adenomyoma,D018194
Lordosis,D008141
Papillomavirus Infections,D030361
Postural Orthostatic Tachycardia Syndrome,D054972
Shy-Drager Syndrome,D012791
Atrioventricular Block,D054537
Exocrine Pancreatic Insufficiency,D010188
"Hypertension, Malignant",D006974
Bordetella Infections,D001885
Hamartoma,D006222
Hallux Valgus,D006215
Radicular Cyst,D011842
Sciatic Neuropathy,D020426
Callosities,D002145
Cadmium Poisoning,D002105
Tenosynovitis,D013717
Epiretinal Membrane,D019773
"Neoplastic Cells, Circulating",D009360
Dental Pulp Diseases,D003788
Chondrosarcoma,D002813
Adenocarcinoma,D000230
Nasopharyngitis,D009304
Gallstones,D042882
Osteoma,D010016
Glucagonoma,D005935
"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative",D054438
Aggressive Periodontitis,D010520
Mobility Limitation,D051346
Anterior Compartment Syndrome,D000868
Femoral Neck Fractures,D005265
"Niemann-Pick Disease, Type B",D052537
"Skull Fracture, Basilar",D020205
Anthracosilicosis,D000874
"Tuberculosis, Male Genital",D014389
Cafe-au-Lait Spots,D019080
"Pemphigoid, Benign Mucous Membrane",D010390
Insect Bites and Stings,D007299
Uterine Cervical Neoplasms,D002583
Huntington Disease,D006816
Cluster Headache,D003027
Choristoma,D002828
Iridocyclitis,D015863
Anaplasia,D000708
"Adenoma, Pleomorphic",D008949
Esophageal Diseases,D004935
Hallux Rigidus,D020859
Tic Disorders,D013981
Aortic Aneurysm,D001014
"Pregnancy, Prolonged",D011273
Oropharyngeal Neoplasms,D009959
"Hypertension, Renal",D006977
Mumps,D009107
Liver Cirrhosis,D008103
Tabes Dorsalis,D013606
Pure Autonomic Failure,D054970
Cochlear Diseases,D015834
"Brain Diseases, Metabolic, Inborn",D020739
Prune Belly Syndrome,D011535
Tolosa-Hunt Syndrome,D020333
Cystadenoma,D003537
Linitis Plastica,D008039
Ureteral Neoplasms,D014516
"Acidosis, Renal Tubular",D000141
PC12 Cells,D016716
Endometrial Neoplasms,D016889
"Aneurysm, Ruptured",D017542
Leukoaraiosis,D049292
Aspartylglucosaminuria,D054880
Hyperglycemia,D006943
Ovarian Diseases,D010049
Cerebral Arterial Diseases,D002539
Blue Toe Syndrome,D018438
Rubulavirus Infections,D019351
Carotid Artery Diseases,D002340
Postoperative Nausea and Vomiting,D020250
Streptococcal Infections,D013290
Coccidioidomycosis,D003047
"Leukemia, Megakaryoblastic, Acute",D007947
Superior Vena Cava Syndrome,D013479
Environmental Illness,D018876
"Granuloma, Plasma Cell",D006104
"Glomerulonephritis, Membranous",D015433
Endocrine Gland Neoplasms,D004701
Astroviridae Infections,D019350
"Osteoarthritis, Knee",D020370
Menkes Kinky Hair Syndrome,D007706
Hemostatic Disorders,D020141
Common Cold,D003139
Darier Disease,D007644
Iliotibial Band Syndrome,D058745
Thyrotoxicosis,D013971
Dacryocystitis,D003607
Facial Neoplasms,D005153
Tarlov Cysts,D052958
Multiple Trauma,D009104
Cholesterol Ester Storage Disease,D015217
Ulna Fractures,D014458
"Urinary Bladder, Neurogenic",D001750
Palatal Neoplasms,D010157
"Leukodystrophy, Metachromatic",D007966
"Xanthomatosis, Cerebrotendinous",D019294
"Sarcoma, Endometrial Stromal",D018203
Oligospermia,D009845
Skull Base Neoplasms,D019292
Sphingolipidoses,D013106
"Ossification, Heterotopic",D009999
Mastocytosis,D008415
"Cystadenoma, Mucinous",D018291
Hypoproteinemia,D007019
Cumulative Trauma Disorders,D012090
Tooth Discoloration,D014075
Lathyrism,D007842
Dental Deposits,D003741
Central Nervous System Helminthiasis,D020809
"Neoplasms, Second Primary",D016609
Hypersplenism,D006971
Zellweger Syndrome,D015211
Meniere Disease,D008575
"Anemia, Neonatal",D000751
IgA Deficiency,D017098
"Leukemia, Promyelocytic, Acute",D015473
Coagulation Protein Disorders,D020147
Wolff-Parkinson-White Syndrome,D014927
Blister,D001768
Unconsciousness,D014474
Blast Injuries,D001753
Digestive System Neoplasms,D004067
Splenic Neoplasms,D013160
Fibromyalgia,D005356
Phobic Disorders,D010698
"Tooth, Impacted",D014095
Bulimia Nervosa,D052018
Parotid Neoplasms,D010307
Urination Disorders,D014555
Whooping Cough,D014917
Granuloma Annulare,D016460
